time_period,sharpe_ratio,mean_return,std_dev,count
2022-Q2,-0.05336944117523238,-0.0034952351519743803,0.22781610164494231,2389
2022-Q3,-0.5171899760628911,-0.03192535424092171,0.18278617706723818,2441
2022-Q4,0.42961300396508995,0.02160672786202834,0.2026965194134126,2302
2023-Q1,-0.5814813431550719,-0.04197696350003706,0.20224515082035116,2237
2023-Q2,0.46638283183637325,0.023431010190928588,0.20469333626900785,2325
2023-Q3,-0.9257493572245908,-0.05599776250475321,0.15708861556522366,2387
2023-Q4,2.1612379175078607,0.08184733581394213,0.22088928360581864,2241
2024-Q1,-0.006763939010302044,-0.0004280207224989069,0.22406423124708488,2107
2024-Q2,0.015488084677559629,0.0009798765050916282,0.22585444972012741,2308
2024-Q3,0.29870704552024335,0.014302957360694465,0.18480506702760932,2112
