days_to_announcement,mean_return,std_dev,sharpe_ratio,num_observations,unique_events
27,0.0008425904461926024,0.049004552042648766,0.2729482896728971,905620,196587
28,0.0009539940425513617,0.04835821715846483,0.3131667547490953,930428,229768
29,0.0010437108476371356,0.048820357196688306,0.339374740629174,785712,215497
30,0.0011099416093960097,0.050476125372415005,0.3490715002308189,589125,143860
31,0.001179738750097414,0.053327621694906596,0.35118333564259296,359357,0
32,0.0011720384543185498,0.041107353962070436,0.4526083989729856,143860,0
33,NaN,NaN,NaN,0,0
34,NaN,NaN,NaN,0,0
35,NaN,NaN,NaN,0,0
36,NaN,NaN,NaN,0,0
37,NaN,NaN,NaN,0,0
38,NaN,NaN,NaN,0,0
39,NaN,NaN,NaN,0,0
40,NaN,NaN,NaN,0,0
41,NaN,NaN,NaN,0,0
42,NaN,NaN,NaN,0,0
43,NaN,NaN,NaN,0,0
44,NaN,NaN,NaN,0,0
45,NaN,NaN,NaN,0,0
46,NaN,NaN,NaN,0,0
47,NaN,NaN,NaN,0,0
48,NaN,NaN,NaN,0,0
49,NaN,NaN,NaN,0,0
50,NaN,NaN,NaN,0,0
51,NaN,NaN,NaN,0,0
52,NaN,NaN,NaN,0,0
53,NaN,NaN,NaN,0,0
54,NaN,NaN,NaN,0,0
55,NaN,NaN,NaN,0,0
56,NaN,NaN,NaN,0,0
57,NaN,NaN,NaN,0,0
58,NaN,NaN,NaN,0,0
59,NaN,NaN,NaN,0,0
60,NaN,NaN,NaN,0,0
