days_to_event,mean_rtv,median_rtv,std_rtv,count,smooth_mean_rtv
-3,8.89914335756415,1.9104948872089635,198.9167196487361,578,3.192454125083618
-2,3.653442738531478,2.9110897669051865,85.31139929877055,633,4.24026028103843
-1,6.978026435726433,1.8985051546755505,75.66885346337526,764,7.722564768011695
0,8.404065895975233,2.8345941592044372,72.9340203396715,888,7.929340249541482
1,10.67814541223836,3.487187961704623,81.08276391725765,574,9.269168616275435
2,9.933020765213088,3.6484552522808658,93.3598607126274,398,9.733979770042305
3,10.35258457220124,3.078992503427263,81.41114428181221,506,9.786703488089582
4,9.302082204560786,3.6513959678872823,108.82001084859785,562,10.161839486793507
5,8.667684486211623,2.546938332649369,145.18686242610053,609,8.688449773330984
6,12.553825405757985,1.8311360521681497,117.06685629172812,750,7.594217224001987
7,2.5660721979004593,1.0356476169866335,91.91979233348447,861,9.598347881871005
8,4.881421825556263,1.0452848223135864,96.09931265266121,570,8.27099264578188
9,19.322735493905874,0.6906005323278928,244.2404572531239,405,7.7240932825974316
10,2.0309083057659962,2.329723868710362,86.09590792653415,526,8.554005771737303
11,9.819328589835745,0.9015144646319773,91.69167887176884,556,7.619156789474209
12,6.715634643599811,-0.37557797302018125,105.87595091849066,610,4.344486399623359
13,0.20717691424079507,0.5518148733822158,90.09357097837152,760,5.138688767805803
14,2.949383544651628,0.2462631065416169,112.11429575070196,858,2.844531348868644
15,6.001920146678213,1.9078202305071397,75.9373148677399,578,2.9134015496851062
16,-1.6514585048500485,1.872609418537998,92.49115332780066,407,3.198819123494958
17,7.059985647682123,1.402379636631637,109.23264125798747,533,2.17409087359455
18,1.6342647832900554,1.4514356742550132,70.79960758792654,559,0.8209021086388896
19,-2.174257704850412,1.0269699253472468,105.25160988333005,608,2.3711260407327823
20,-0.7640236781000904,0.9270095762077197,98.7679210883677,763,3.659279632221094
21,6.099661155619415,0.2889285371872005,232.46898027613446,865,5.565106128844167
22,13.50075360512368,1.2030689452269594,221.46284123173768,575,7.099127064441217
23,11.163397266405424,0.3177192698849174,123.968739921561,406,7.176573852949295
24,5.495846973134833,0.646762427917418,85.29175876742889,520,5.660593116428861
25,-0.3767897355596982,0.49161674023563456,100.30919050111474,569,5.304986782467036
26,-1.4802425269827577,0.3998840143226302,101.54032094867118,616,6.447249371403823
27,11.72272193531456,-0.25306244816376333,123.89549279170133,742,6.27318384560507
28,16.874710211089358,0.8627661983603614,251.55415051482865,866,6.81503447183597
29,4.62551934414107,0.5333920189715764,108.38075594589081,581,7.162227026770171
30,2.332463395594803,1.5240621895832196,135.60164315011824,409,4.734855980446355
31,0.25572024768824503,-0.04797528716198261,123.16370428516245,509,1.3796224920050075
32,-0.4141332963045212,-1.2046848232038958,124.50009525791435,555,0.7260040429493717
33,0.09854276888262173,-1.7815951783872324,75.3853349239964,612,0.4796405288468847
34,1.357427098862891,0.7307849190793665,98.41053253842432,748,-0.13747061509031927
35,1.1006458250823676,0.5368646873235642,111.45207047844596,863,0.021151935792962383
36,-2.8298354719977747,-0.4573630968694656,85.7366388351606,587,0.9647075148487583
37,0.3789794581118871,0.2592288969464457,61.89032998796907,415,1.4762973747495427
38,4.8163206641616005,0.4667680032140566,145.84283144900854,529,1.3126090097452046
39,3.9153763983668126,0.959376325264842,85.56194567871603,567,2.0487552177599335
40,0.2822040000606772,0.42089808679985485,80.3566213901624,614,1.7821644571091135
41,0.8508955680758714,1.248518204873692,90.04174610405082,748,0.9294440911059715
42,-0.9539743451422151,-0.492274681430957,110.02633977817811,868,1.115965643861291
43,0.5527188341458912,-0.47452564885535775,68.71910624482231,584,0.8099994175637908
44,4.847984162143411,0.44381240789630816,143.58038320352986,418,1.8324080074565667
45,-1.2476271314268241,-0.9315887587958075,84.50907889063629,539,-1.2973747120918104
46,5.962938517539751,-0.8176443565790874,256.6125053315362,562,-1.7762668706249989
47,-16.602887942884102,1.6703228483637522,336.675990239873,605,-1.9849460840920226
48,-1.8417419585200503,1.384650278412578,130.88819028624607,749,-1.2482209646909124
49,3.8045880948082913,1.6973573146497347,112.61036853226805,865,-2.705448910349413
50,2.4359984655787272,1.034532795425915,105.48067363507921,583,0.41714106381430616
51,-1.32320121075275,2.3144369674321297,119.54912137383717,421,1.8183202775271348
52,-0.9899380720655078,2.672236295501074,107.56882358071448,545,2.953383830444293
53,5.164154110044093,2.2200011804221838,115.61640724347244,570,3.1410892085470037
