event_id,vix_start,vix_end,vix_pct_change,pre_days_count,cum_return,post_days_count
CLX_20190204,14.06,23.22,65.14935988620198,19,0.043308617459838494,9
ZBRA_20210803,16.42,21.24,29.35444579780753,20,0.036480265664981415,9
BWY_20100504,23.84,17.42,-26.92953020134227,21,0.0005043968390134879,9
RDFN_20210805,16.42,16.95,3.2277710109622264,22,-0.09807623079184369,7
RGEN_20180508,13.16,14.97,13.75379939209727,21,0.11029831366200304,9
OBIE_20010411,25.77,31.97,24.058983313930927,22,-0.012346004718968517,7
AKRO_20221104,32.99,30.75,-6.789936344346778,22,0.07373045859775029,7
DOMA_20220510,24.55,25.99,5.865580448065163,20,0.17333368391021908,9
VIA_20000907,18.79,22.14,17.828632251197455,21,-0.01342220129388838,7
CPNG_20210811,21.89,18.77,-14.253083599817273,22,-0.14741159799141645,8
OTEX_20090506,30.18,33.36,10.536779324055665,21,-0.04246139295535001,8
