days_to_approval,event_count,sharpe_q5,sharpe_q10,sharpe_q25,sharpe_q50,sharpe_q75,sharpe_q90,sharpe_q95
-44,900,-10.777299547068202,-7.814151915814651,-3.6000818132346444,0.6053410996911328,5.210291857412344,8.743872880482611,10.99687251301383
-43,900,-11.02494906083866,-7.861944352817291,-3.2221012399552365,0.7791004056776782,4.800692906020564,8.470620686852396,11.293068918350567
-42,900,-10.428477109147689,-7.939762385849431,-3.4657620992206266,0.7247287854095216,4.848879135084395,8.470092826300043,10.342556589306595
-41,900,-9.640405645461739,-7.762089127968769,-3.25853688892242,0.6865652706611566,4.941702612627295,8.464247986163922,10.747058643597672
-40,899,-10.277702926115097,-7.667661861111971,-3.403502981875767,0.7028971234454667,4.79879455339841,8.600351102302776,11.05788582240438
-39,898,-11.08928894763324,-8.118027480050618,-3.81627799110358,0.7582077263132045,4.644955950475811,8.490637889830886,10.284123545661249
-38,897,-10.662888795891055,-7.8405386578566505,-3.3028039901512045,0.8821539256932323,5.007292746300405,8.467754502387036,10.79870243379901
-37,898,-10.941147597264775,-7.828408570043575,-3.627736671099537,0.6351955760882609,5.076104757424179,8.401652532138323,10.660682066475207
-36,898,-10.62552615614422,-7.985688575463176,-3.6639987729677994,0.8145630820369826,4.851632015626043,8.76309216153715,10.52740202692389
-35,898,-10.26963456974164,-6.950900212263709,-3.353881665241071,0.7890735221526076,4.867270829857206,8.714165887101897,10.305596573201703
-34,898,-9.977222758364727,-6.992899636226708,-3.4435742131309883,0.8633148854227197,4.803590535545649,8.656388748887585,10.81223066949857
-33,898,-10.16963461243623,-7.304228751898225,-3.4937261930038703,0.5874404280972347,4.9618336442220565,9.284387101096248,11.613020698974488
-32,899,-9.606515058588938,-7.7589770803292915,-3.5828690395732474,0.8600293570984925,5.1026960614128924,8.619645949058452,11.93197205551514
-31,899,-9.617639035112427,-7.394573288113998,-3.556985427320542,0.5727321735306772,4.864415828077535,8.785575759704848,11.24699069863951
-30,899,-9.685868678343594,-7.0035984879778015,-3.5120765024068805,0.6594436512558493,4.922428945968696,8.24423270838087,11.175470096274426
-29,899,-9.32187327169912,-7.4597125328615785,-3.3214719009569302,0.7260594183322823,4.834658082393459,8.281500195317752,11.305805224926372
-28,899,-9.245765760346615,-6.9666865440501375,-3.301775174103965,0.662335962048216,4.479126389991544,8.20349146189077,11.007888349052454
-27,899,-9.602934827434431,-6.977065469440156,-3.46422312704701,0.4220156823864784,4.305780430996666,7.998323408869907,10.342657945644198
-26,899,-9.7553506361195,-7.374105964692668,-3.6276554816040045,0.499681356647311,4.60116612418057,7.996742382631065,11.816820445336667
-25,898,-10.148676049292591,-7.895570812006502,-4.065379391029749,0.2501920168215652,4.770845778101589,8.54734980674582,12.147789548049046
-24,898,-10.720031106297657,-8.384146024720213,-4.232791043944999,0.13904125358220917,4.162266284065438,8.694620508627855,11.997112645193894
-23,896,-10.809205521326502,-8.19947824055831,-4.0580613032182065,0.022569023194402134,4.232767002091495,8.71195523020377,11.789747492418945
-22,898,-11.168788610840046,-8.207037605096579,-3.856922087698878,0.5030836990784442,4.421778056651956,8.854812531222528,12.006205354162356
