days_to_approval,mean_return,std_dev,sharpe_ratio,num_observations,unique_events,rolling_avg
16,0.0009991529885413442,0.027437121230103976,0.5780876879649259,3229,467,0.23446392708857325
17,0.0010691516245487365,0.02884661615666678,0.5883621074334384,3047,546,0.28785891800464614
18,0.000831290675844806,0.028668388357988187,0.4603094603075569,3196,565,0.35127603517313793
19,0.0006822460762331837,0.02920728738926601,0.3708088519016651,3568,618,0.4000548506109169
20,0.0005170324443222437,0.029000861817104862,0.2830135068513767,3637,724,0.450248333033922
21,0.0006477324858757059,0.029148013734570596,0.35276621371127304,3540,806,0.44505883867715645
22,0.0007349586728754365,0.028079803006065177,0.41549818677541284,3436,601,0.4328805264781533
23,0.0007150751995089011,0.027829698434254257,0.40789040192008363,3258,466,0.42350537967021024
24,0.0009356384715871979,0.028150276798027223,0.5276253723496843,3064,540,0.41917461546700024
25,0.0008324361468465642,0.02834354417068558,0.4662265975561477,3189,579,0.4114140637158748
26,0.0007922478897017446,0.027561734628557825,0.4563045659748937,3556,624,0.38829961057299667
27,0.0008363463131731566,0.026842500082148543,0.4946106393540077,3623,706,0.332865142071714
28,0.0007164108925007128,0.027272471845808298,0.4170018182754577,3509,798,0.27458474288808377
29,0.0004885545373928466,0.026451141366200356,0.2932033343904108,3383,603,0.21100877119696276
30,8.436683260734261e-05,0.02582048203142316,0.051868975422595685,3214,465,0.15909788100984495
31,-0.0003496128179715891,0.027532361929550643,-0.20157847130155346,3027,524,0.12353642158682479
32,-0.00029259526066350715,0.02776237062055376,-0.1673058050608904,3165,567,0.1007854394332615
33,-0.00039684888006804653,0.0276464633627947,-0.22786931499112606,3527,623,0.06889348695669138
34,1.5110865968008797e-05,0.02816631153509911,0.008516470478506314,3626,706,0.06891903809735384
35,0.00019849291784702542,0.02848675813690563,0.1106120033259459,3530,794,0.07328870969183064
36,0.00040305444964871206,0.0279652010679361,0.22879474443926073,3416,606,0.09585774327330136
37,0.00031481818181818173,0.028445284301743336,0.1756911145883067,3245,471,0.1370301983296922
38,0.000746537000654879,0.028401915667903826,0.4172573296820821,3054,532,0.1717602382103423
39,0.001383896214511041,0.06520827563445902,0.3369000503351789,3170,570,0.20778961224056564
40,0.0011070961702127659,0.06331838331975263,0.277559311237303,3525,616,0.1855157169613206
41,0.000834016906873614,0.06300192701828397,0.21014607926235476,3608,705,0.1709566340293922
42,0.0007207935061236116,0.06356992143426168,0.17999459374561083,3511,795,0.1580489419463778
43,0.0005367426147996488,0.06434254738765176,0.13242442531110685,3419,601,0.16524712855019613
44,-0.0004133753846153846,0.030632316104110265,-0.21422248231394386,3250,471,0.15385043788227984
45,-6.631749672346005e-05,0.03009699706949017,-0.034978825993337875,3052,547,0.18096511147391176
46,0.00018299434495758717,0.029131654336146912,0.09971782360911656,3183,566,0.20632931202869326
47,0.00044795509743010445,0.028711515886614296,0.24767298062649032,3541,608,0.23809867311781927
48,0.0005459986130374477,0.028578084305735683,0.3032904230029189,3605,711,0.2843594651967223
49,0.0011535401023890785,0.03011590858403916,0.6080467862514982,3516,796,0.3292566439078009
50,0.000985267191142191,0.029443887434125536,0.531201316785118,3432,598,0.40695096991046287
51,0.0009770765228037956,0.029385075121572346,0.5278396901536148,3267,475,0.45581518846851343
52,0.0013050204678362572,0.03223852570428534,0.6426025145346409,3078,548,0.49743306576382845
53,0.0011675464788732394,0.03187882096107784,0.5813962124218933,3195,578,0.5084964514658921
54,0.0010640375918598078,0.03001679303680368,0.5627207777126751,3538,622,0.5219288714775367
55,0.0008257167453485142,0.02889333399411186,0.4536633595871679,3601,699,0.478468572531916
56,0.0009353468158347677,0.02878129160903941,0.5158965965622668,3486,788,0.46676683726990237
57,0.0005945260984960189,0.02634001988162569,0.3583068376471268,3391,596,
58,0.000732267492260062,0.026563065885052754,0.43761462311936544,3230,464,
59,0.0002864355179704017,0.026216117077975436,0.1734437967952911,2365,545,
60,0.0007014868497954416,0.02688602041292324,0.4141839641649813,1711,570,
