days_to_event,mean_rtv,median_rtv,std_rtv,event_count,mean_rtv_interp,mean_rtv_smooth
40,3.9228132980181285,0.5074086467549881,123.35776855269312,144857,3.9228132980181285,3.6251531716856356
41,3.665503418708823,0.5149280170153259,108.75034295479307,197021,3.665503418708823,3.44047064910943
42,3.0232664991407607,0.4084458782023079,115.56783019910714,231498,3.0232664991407607,3.2526906300294507
43,2.967335577357619,0.4009344880602772,124.32288552842338,215508,2.967335577357619,2.640559442546839
44,2.7060869815090185,0.400287582753482,154.65349615235505,144359,2.7060869815090185,756773098.7051243
45,0.8621573606050696,0.3943403439379882,532.294246232993,104935,0.8621573606050696,756773097.4588095
46,3783865483.9883275,0.3969610258729119,1317105909519.877,121163,3783865483.9883275,-257911824092.31454
47,-3.208307341309906,0.40001466490737536,2163.493125383917,146185,-3.208307341309906,-257911824092.61182
48,-1293342985945.8994,0.3969426720769631,575639343364844.1,198095,-1293342985945.8994,-257911824092.65616
49,1.2197213427187317,0.3986269014515661,235.96977073827233,230796,1.2197213427187317,-258668597189.77393
50,0.6406306632418708,0.39813367422341217,850.9776585057679,211654,0.6406306632418708,-749938798048.7986
51,-1.600759802321055,0.3994999626659137,1233.7832609992688,142785,-1.600759802321055,-491270200858.4998
52,-2456351004298.332,0.39895355148366585,793302505804458.4,104303,-2456351004298.332,-491270200859.6332
53,5.594804760153202,0.3985717844391196,1293.2496271299062,121759,5.594804760153202,-467856467361.7593
54,-4.447318947816725,0.40011315939939407,2512.938365617096,145828,-4.447318947816725,-467856467360.9678
55,117068667490.01018,0.400440039282634,51955939846125.08,196965,117068667490.01018,2205207148436.3174
56,2.3568913782802485,0.4004502171770139,120.45320004209097,228692,2.3568913782802485,2205207148435.659
57,10908967074688.092,0.39965927303987325,5024214209845418.0,210634,10908967074688.092,2205207148437.464
58,2.3067896952471516,0.39960941299262775,192.98949434662524,141648,2.3067896952471516,2181793414939.8372
59,4.576982531501474,0.3966536728432558,3885.1583942276857,103519,4.576982531501474,2727241768674.207
60,1.8750415601741977,0.39788177316835305,132.52434149749857,119730,1.8750415601741977,2.912109375
