days_to_announcement,mean_return,std_dev,sharpe_ratio,num_observations,unique_events
21,0.00081839633419294,0.04382594537339736,0.2964371660275597,937811,230140
22,0.00089610930625755,0.044462446413082946,0.3199395305235119,895051,216584
23,0.000887884921228835,0.04465361428489142,0.3156460320673973,815310,144871
24,0.0008411137415689381,0.04560987882053734,0.29274944490864274,729886,104663
25,0.0008090933424632832,0.04593481487432512,0.27961272217413913,709889,119052
26,0.000773284757511005,0.04519825628896904,0.2715926669290992,794786,144716
27,0.0008425904461926024,0.049004552042648766,0.2729482896728971,905620,196587
28,0.0009539940425513617,0.04835821715846483,0.3131667547490953,930428,229768
29,0.000984404081453751,0.04834837857909211,0.32321518929901244,889945,215497
30,0.0009480679102913434,0.04914942168553387,0.30621136492882123,811226,143860
31,0.0007804792744079141,0.0491519416114002,0.2520698872710906,725833,104233
32,0.0006047263807738948,0.043445241951916055,0.22096168089550455,707671,117868
33,0.00046703240374418667,0.04387282187227499,0.16898638498063248,795085,144375
34,0.0006297226206669821,0.04363076646329482,0.22911668773524654,906601,197335
35,0.0007557633458098594,0.04339507826441426,0.27646847656510204,933118,231274
36,0.0008756565266297687,0.04342701369475431,0.3200914646801274,893626,215749
37,0.0008145512842995984,0.04418257277769664,0.29266292018009005,815582,144385
38,0.0007337263807551467,0.04431391928782798,0.26284168474064434,729273,104883
39,0.0004852014612427318,0.044161612462410224,0.17441243613639792,710765,119291
40,0.00028220833307226426,0.04408843161183179,0.10161210638560166,798146,144965
41,0.00033956502506635205,0.043762002805252026,0.12317598181130243,908934,197241
42,0.0005100908083464317,0.04426103005254556,0.18294740407203217,934111,231766
43,0.0006746803634683849,0.0446645289985969,0.23979249255068907,894204,215671
44,0.0005764307226743682,0.04534804533319651,0.20178497164073264,818335,144468
45,0.0005418430374081715,0.04569696426247702,0.1882289490889934,733012,105058
46,0.00023381699670635718,0.04580391262996627,0.08103521163128441,715753,121372
47,0.0001571982168583407,0.04436083490725934,0.05625332199713541,802540,146443
48,0.00024020314809438344,0.044168041304267394,0.08633180578888226,909459,198412
49,0.0004610569724081696,0.04381461737536844,0.16704590782209855,930973,231255
50,0.0005720014523993277,0.043772166392504565,0.20744327512318664,889029,211977
51,0.0006528126240581425,0.04417042782194262,0.2346157745553914,812760,142886
52,0.0005608092778687894,0.04459975358359048,0.19961032467109247,727751,104499
53,0.00027902225385494604,0.04386767808876402,0.10097049027201706,713181,122143
54,0.00018092022082417502,0.04402480894617848,0.06523638687843164,799525,146246
55,0.0002407310530289984,0.04462281137469814,0.08563976310016713,906009,197407
56,0.0003549187992673716,0.04463949680547663,0.1262147128461242,925611,229230
57,0.0004291573606533238,0.04464255901488975,0.1526046456104154,883047,210983
58,0.0004867725283058207,0.04571202974215966,0.1690424681056184,805911,141745
59,0.0005238279789582861,0.04632857590418829,0.17948989819597383,576681,103682
60,0.0004101424023368588,0.04593617584928739,0.14173597762245052,365698,120271
