event_id,vix_start,vix_end,vix_pct_change,avg_vix_volatility,pre_days_count,pre_event_return,pre_days_count_right
TGTX_20210205,17.9,,,4.312533338672862,21,-0.04843195810156997,21
GILD_20070615,,,,3.270839621106375,21,-0.01466250331371155,21
OGN_20211207,16.06,,,2.288076914368856,20,-0.18487878526173007,20
NVS_20231006,13.83,16.94,22.487346348517722,2.4615697953543103,22,0.03428955266883649,22
MYL_20180209,12.0,12.19,1.5833333333333293,3.8246298285693734,21,-0.1137960672011461,21
EBS_20210604,19.15,,,3.141728824380812,21,0.04297835878965284,21
ARDX_20231017,,,,2.562691750644561,21,-0.23736428831750778,21
MRK_20180222,,,,3.225700532708759,21,-0.10938834576467515,21
MRNS_20220318,,,,5.229251325465481,21,-0.2841693646680292,21
PFE_20021226,,,,4.203444100586451,20,-0.00727773970547696,20
AQST_20240426,,,,2.8653307865752145,21,-0.03201995656890355,21
SGP_20020208,,28.96,,4.227785502274544,21,-0.0836268798904608,21
PFE_20241011,,,,4.028557543823603,14,-0.02689986762355767,14
AMLX_20220929,,,,2.187516694229216,21,0.14627369339850982,21
NVS_20071029,11.47,,,5.336626880550004,20,-0.05131094608115272,20
SNY_20040416,,,,0.6449674486499031,21,-0.047395745424827274,21
SGP_20040901,,,,0.6761045992861318,22,-0.04848391976462374,22
GTHX_20210212,,16.03,,4.376819779860613,21,0.6327648354669957,21
MRK_20040326,,,,1.2773123387894039,22,-0.0921006874466791,22
TNXP_20160128,13.1,,,2.0575494979422557,17,-0.3572366280984829,17
PFE_20020611,,,,3.4614665797576607,20,-0.02054168806390999,20
HSP_20060915,,,,3.02007900371239,21,0.05000102437654386,21
MRK_20160128,13.1,,,2.0575494979422557,17,-0.04638339599643826,17
AZN_20170227,,,,0.786655186681255,19,0.120769301515673,19
PCRX_20111028,,,,4.5997060869542,22,0.013630792158903837,22
CEPH_20060925,,,,3.02007900371239,19,-0.005022350111766105,19
AZN_20080227,,,,8.240897636647752,21,-0.034366288142545276,21
NVS_20090617,,,,4.832794839647185,21,0.04307759028430369,21
AZN_20230717,,,,1.953610430398946,18,-0.10422843952228678,18
GILD_20120118,,,,,9,0.1014542114830439,9
MYL_20180228,,,,3.225700532708759,21,-0.11017303643483034,21
MMM_20010607,,20.39,,4.652450311663603,21,0.03623030746117184,21
PRGO_20090518,,,,3.1390204072351833,20,0.08938231403996766,20
SWTX_20231127,,,,1.3799205526107732,19,0.006478432793699529,19
CBST_20030912,,,,3.347887138304656,21,0.0327116118208397,21
RETA_20230228,,,,1.8089232081108626,20,-0.2890048701276031,20
GILD_20020920,,,,6.666434979825501,21,-0.06107424587349597,21
NOVN_20220322,,,,5.229251325465481,20,-0.08142691175738626,20
MRK_20010126,,,,3.815821279131683,20,-0.11665443955048105,20
MMM_20060929,,,,3.02007900371239,21,0.04175345002278119,21
TEVA_20230511,,18.49,,2.6077000042585348,22,-0.1126476911310812,22
IMMU_20200422,,,,6.415606513919562,21,1.0204670259321844,21
BMY_20091105,28.46,,,4.502828539326865,22,-0.0008999736657103741,22
AMGN_20240516,,,,6.7288132520635875,22,0.2016116185014456,22
NVS_20100826,,,,5.279585195014721,22,0.027641172955875648,22
SERV_20180720,,,,4.970432612446372,21,-0.05629143558745786,21
PFE_20190627,,,,0.7397940859227431,22,0.024792941476975416,22
MYL_20011207,24.01,20.7,-13.785922532278224,2.467290538934248,21,-0.021323763535490925,21
MYL_20070511,,16.91,,3.9566725181243214,22,0.013300426316398717,22
GKOS_20231213,,,,1.4973595813309977,20,0.034522051100136064,20
JNJ_20110428,,,,2.2483237210971914,21,0.10685352907618029,21
ACRS_20171214,,,,1.8399098201412358,21,0.12606565793708957,21
INSM_20051212,,11.65,,2.5465691256759957,19,0.2268885194815955,19
AUPH_20210122,,,,5.132572698207989,19,0.12435330649938248,19
AMGN_20210528,,,,3.322977929783966,22,-0.07122817309001461,22
ALC_20000223,,,,1.5389518637164399,21,-0.018041156975885264,21
ABBV_20180216,,,,3.4439742261754813,22,0.1210862360635876,22
XELA_20211028,,,,1.5203297030881509,22,-0.1787438387307243,22
JNJ_20230811,13.06,,,1.1575525687412669,22,0.08535359665392783,22
PFE_20231012,,14.17,,2.1596607804948538,22,-0.0244557108560427,22
NVO_20000411,,21.54,,2.4715765778707213,21,0.0636037328030179,21
MYL_20180604,14.97,,,4.787243413583106,19,0.07948689929415909,19
MYL_20180710,19.91,14.88,-25.26368658965344,5.182539275314723,20,-0.10275705729883267,20
PCRX_20171006,10.7,10.21,-4.579439252336434,0.7849048124882826,22,0.0013555022453486387,22
BHC_20190425,,,,2.4922111593049077,21,-0.0468096942047419,21
ALNY_20180810,16.36,,,7.70852347305509,22,-0.10006577332625777,22
BMY_20110615,,,,5.643602728096625,21,-0.03887497508533866,21
AZN_20171114,,,,2.033566838396625,21,-0.04911951820006211,21
RDY_20031031,24.32,,,4.44473949126691,22,0.13304855656509917,22
RDY_20191004,14.28,,,2.428040023703775,22,0.07201687574823379,22
BIIB_20161223,,,,3.381182256440335,21,-0.11014968296278593,21
NVS_20091026,,,,5.465901114485675,20,0.062015535447775605,20
RDY_20191021,,,,2.1423397680889322,20,-0.010225814097756136,20
MYL_20170802,11.45,,,0.5172875567715111,21,-0.005926255700865801,21
CHRS_20211217,,,,2.432528951600076,21,-0.12375124284146588,21
