days_to_event,mean_return,std_return,sharpe_ratio,event_count,valid_returns,median_sharpe,smooth_sharpe
-2,0.0003770758142340169,0.018255702539477833,0.19342905578983516,829,2824,0.3016834743597079,0.30272945665714845
-1,0.001289456827309237,0.01821731179096935,0.5302238090998033,830,2594,1.1390407368189908,0.40129434282689347
0,0.0011982727021696252,0.01847702066622158,0.36798395275398765,845,2813,0.881721393690263,0.5518469395711117
1,0.0019029725581395343,0.01928191457901311,0.6907725676949593,860,3323,1.664341182126789,0.6818020198303967
2,0.0027295972668195715,0.019948323939885867,0.9768253125169735,872,3394,2.235559220361783,0.7286013900727646
3,0.002195226893939393,0.01954782040310609,0.8432044570862598,880,3226,2.268992125551758,0.766955981391118
4,0.0017540227093206958,0.020104830441553798,0.7642206603116426,844,3031,1.852946827567357,0.6625296874389843
5,0.0015526004987531173,0.02040314602249015,0.559756909345755,802,2742,1.4846967924045162,0.49549454015656014
6,0.0004179706851119894,0.0197657970621088,0.1686410979342906,759,2379,0.5675423337225108,0.33126849353448246
7,-0.0002278457859249893,0.01886598870070407,0.14164957610485265,791,2621,0.2553547675808201,0.19759910698845623
8,-0.0002785532599837003,0.018671202460507786,0.022074223975871457,818,3139,0.07319732961144196,0.10134874277444103
9,-0.00041669208381839355,0.01861555651634795,0.09587372758151162,859,3288,0.10065468459649077,0.08674466770613089
10,-0.00024261307992202741,0.018035955948903976,0.07850508827567891,855,3124,0.09349314766194214,0.0668567113231824
11,-0.00018368028309409878,0.01803778765936604,0.09562072259273986,836,3002,0.3076679572229928,0.09141043993803366
12,0.00005876893183707408,0.017885990448318276,0.04220979419011015,802,2739,0.3088549703594341,0.12550407857430823
13,-0.00011000384122919334,0.017502169895250826,0.1448428670501278,781,2444,0.4865968091487217,0.11983075646659427
14,0.0004091804018040178,0.01765066472905622,0.26634192076288454,813,2701,0.6409558883727215,0.1085141215563699
15,-0.000016216686650679412,0.01783354154307338,0.05013847773710905,834,3199,-0.08974913456216059,0.11095215411182806
16,-0.00032885993441358034,0.01769370045587029,0.03903754804161804,864,3312,0.039665174412701856,0.10477908499236391
17,-0.0006816983877233878,0.01735521100885295,0.05439995696740093,858,3148,0.03948847508047405,0.07685450436992115
18,-0.00024187941994437812,0.017399101586063666,0.11397752145280697,839,3033,0.19314365965600336,0.07933637463883665
19,-0.00012086100123609401,0.017081232608043517,0.12671901765067084,809,2771,0.37549633534276444,0.08365819213803397
20,-0.00013789724310776945,0.01723428479731352,0.06254782908168656,798,2503,0.3255834325943936,0.06475464134629182
21,-0.000394302369380316,0.01755773973840754,0.060646635537604604,823,2736,-0.14076923938680683,0.06332519087136154
22,-0.0004884526128266034,0.01791482813906781,-0.04011779699130979,842,3231,-0.30085433598653266,0.028907039489368357
23,-0.0005364127269215913,0.017674659021404287,0.10683026907815556,863,3315,0.21506785239910836,0.029345890422517774
24,-0.0007116399535423925,0.017441624730558852,-0.04537173925929506,861,3158,-0.45890931057908424,0.03846876498924415
25,-0.00016817181490384606,0.016815358196249266,0.06474208374743363,832,3009,0.03155990083522832,0.06750075188946292
26,-0.00022072775051124746,0.016346215771249235,0.10626100837123649,815,2782,0.30119193056254573,0.09297994399880098
27,-3.445880622110091e-6,0.016697199108392322,0.10504213750978403,793,2490,0.33941709299674233,0.12653894798553444
28,0.00021572391841779995,0.016753962798073,0.2342262296248459,809,2684,0.9471083012893894,0.12100265766839861
29,0.0004560255515443242,0.01669130207279228,0.12242328067437226,831,3188,0.2725969902448449,0.08875121464423912
30,0.0002838304161804747,0.01660752363830536,0.03706063216175447,857,3298,-0.12929935050328592,0.07176732412923141
31,-0.00015082459207459205,0.016848215310987787,-0.05499620674956098,858,3140,0.004932164614868398,0.012284661501506252
32,-0.00006721591002044985,0.01681137749207349,0.020122684934745463,815,2947,-0.11575553621635798,-0.0191554472554792
33,-0.0005041326187473727,0.016569544961763785,-0.0631870835137799,793,2716,0.01570216007143277,-0.04556177127780476
34,-0.0007197190198618308,0.01676777466427922,-0.034777263110555,772,2419,-0.02735810004202928,-0.039411942963067624
35,-0.0007092936507936509,0.01696255468203934,-0.09497098794987333,798,2636,-0.3764078041909552,-0.037025807063171476
36,-0.0006667903422982885,0.017479243237701197,-0.024247065175875316,818,3130,0.13955891956640581,-0.009986633684160367
37,-0.00022003146839418925,0.01768264864140778,0.032053364434226204,849,3271,-0.005134371961994315,0.025477167214533792
38,0.00018311967754467765,0.017683670155149423,0.07200878338127564,858,3148,-0.019695790133872113,0.06965155539676013
39,0.00044091816745655627,0.017912682466741728,0.1425417413829158,844,3037,0.3547655597473348,0.07721509981187416
40,0.0003017796542018497,0.017656072908031905,0.12590095296125833,829,2825,0.4071137661569616,0.06891122050337344
41,0.00007008785450061672,0.017145710411246837,0.01357065689969486,811,2538,0.14796197181774337,0.05040980190798018
42,-0.00023253321078431366,0.017570643293891474,-0.009466032108277388,816,2707,-0.07663632560796188,0.02017767442066088
43,-0.0004781305288461537,0.017534285795874936,-0.020498309595690656,832,3193,-0.22949561785944886,-0.02251912446664272
44,-0.00040915749414519915,0.01725071042104556,-0.008618896053680688,854,3294,0.008743771139210394,-0.062271252458109515
45,-0.0003099702214452217,0.01720586695087858,-0.08758304147525965,858,3153,-0.23578092116961716,-0.06240008000006732
46,-0.0003925397238658775,0.017407002503491295,-0.18518998305763912,845,3052,-0.34643682224014827,0.02702900830967475
47,-0.00013606922611850053,0.017362184383638107,-0.010110169818066372,827,2832,-0.08628644258905366,0.10620714964105908
48,0.0005372912541254126,0.01747294215927906,0.4266471319530197,808,2532,0.881773987117314,0.1728813560464592
49,0.0003263639935196436,0.017676134940063832,0.387271810603241,823,2727,0.8506160250963688,0.2593111097629114
50,0.000031215057608263685,0.017783250485468187,0.2457879905517411,839,3207,0.4812639068124893,0.32204370765265855
51,0.000334280760233918,0.0181649055711951,0.2469587855246216,855,3285,0.40504121498716134,0.28302722862606583
