days_to_event,mean_expected_return,median_expected_return,mean_volatility,median_volatility,mean_rvr,median_rvr,count
-4,0.0005222569384203641,0.0004939096385542167,0.046290927815964736,0.036822705138930725,0.9246634653726401,0.34839323132928884,106530
-3,0.0005334137298716748,0.0004929581899024665,0.04774473036132746,0.038231454453441296,0.8403252782148067,0.3264526801726143,123550
-2,0.0005478836258393457,0.000521927710843374,0.048092845517151595,0.038627772697683645,0.8309169932478082,0.33645593507229327,148885
-1,0.0005385850874363533,0.0005241504065040649,0.049063190066423984,0.039432858080901155,0.8019175517629098,0.32249291949587255,202364
0,0.0005284914275912853,0.0005145301204819278,0.04986414009848398,0.04006891336696959,0.7755048431625712,0.30766426827051924,239267
1,0.01052106374700726,0.010518457831325302,0.042590102660213854,0.03435291877244837,16.572940756059136,9.010745798341171,219783
2,0.010511549064497189,0.010513650602409639,0.04955346152082064,0.03987060887684972,12.38205725098399,6.698730287046305,146481
3,0.010511357459434345,0.01049083820998279,0.05536140108603763,0.0441210331058219,10.117512045822018,5.448054830226512,107180
4,0.010523909896904732,0.010493,0.05842824466991728,0.0468414408225317,8.973174062763388,4.823024025482262,125289
5,0.010550617892596122,0.010523476045296166,0.05961281610051623,0.04792467872657299,8.458598414935294,4.632264809300147,149938
6,0.0005413419988711401,0.000526155694205393,0.0627433260318854,0.05044718496809009,0.48870458824750507,0.1978012110696109,202654
7,0.000527912451441834,0.0005127195121951218,0.06039102355722714,0.048561088187365195,0.525880019399046,0.20919721413202058,236650
8,0.000518260893300906,0.0005195421686746989,0.05762451129138397,0.04651095617387004,0.5742612796398887,0.23101010028151847,219265
9,0.0005152900307122699,0.0005184156626506023,0.05551051559490024,0.04467847382476509,0.6265703599176715,0.2504198192684518,146376
10,0.0005087353130432955,0.0004948414634146339,0.05403941135395256,0.04312494435713708,0.6633083899849553,0.25388754772559025,106113
11,0.0005124053343160596,0.000489314197968344,0.05197944331628213,0.04169695429088715,0.6980883477008063,0.27178585960088275,124612
