days_to_event,avg_rvr,median_rvr,avg_raw_rvr,avg_expected_return,avg_variance,event_count
16,-1.3072470785551784,5.264000000000007,-1.3072470785551784,4.0134398034397553e-7,1.0145335074801066e-6,407
17,-2.027865318436863,3.085999999999985,-2.027865318436863,-4.948963414634157e-6,1.0128857663694117e-6,533
18,0.18010302488929325,3.028000000000014,0.18010302488929325,-2.0129159212879957e-7,1.011093229314548e-6,559
19,-0.5332990498921665,5.063999999999993,-0.5332990498921665,-1.4219703947368423e-6,1.013709975636587e-6,608
20,-1.0654282180255312,2.866000000000007,-1.0654282180255312,-1.693946701616426e-6,1.0110285729958457e-6,763
21,-3.0150875295810375,0.12599999999995104,-3.0150875295810375,-3.0541764932562585e-6,1.0073016861335458e-6,865
22,-4.15772562998729,3.8179999999999854,-4.15772562998729,-3.870623188405795e-6,1.0099712445147527e-6,575
23,-1.6388971620117276,1.6669999999999998,-1.6388971620117276,-2.6475862068965737e-7,1.0087137905064457e-6,406
24,1.065790869325903,1.708999999999997,1.065790869325903,1.6452999999999953e-6,1.002894050305414e-6,520
25,-1.259108723880053,2.020000000000006,-1.259108723880053,-2.108989162272995e-6,1.007824470672206e-6,569
26,-7.041791577377084,0.8749999999999956,-7.041791577377084,-6.236250541125538e-6,1.009642476653358e-6,616
27,-4.514930396690764,-0.7570000000000119,-4.514930396690764,-3.649283692722373e-6,1.0084720950449684e-6,742
28,3.5949676735310754,2.2050000000000023,3.5949676735310754,4.84842494226327e-6,1.0066826156699361e-6,866
29,5.161264157293855,2.8439999999999905,5.161264157293855,5.234436029833626e-6,1.0034394354240715e-6,581
30,6.426195321598814,3.5419999999999767,6.426195321598814,6.266502444987779e-6,1.0022612929665693e-6,409
