days_to_event,mean_pct_change,std_pct_change,median_pct_change,count,q5_pct_change,q10_pct_change,q25_pct_change,q50_pct_change,q75_pct_change,q90_pct_change,q95_pct_change
4,-4.907180409236372,36.608309132498945,-0.2595717066839809,122825,-18.72455902306649,-10.961538461538467,-4.176538989482137,-0.2595717066839809,2.93874172185431,8.232235701906433,13.079304466131259
5,-4.365884898452625,35.78806504205785,-0.2248173367913442,147676,-18.450704225352112,-11.111111111111105,-4.310344827586188,-0.22480329711502822,3.2786885245901676,8.734374999999982,13.850574712643681
6,-4.178720370026498,58.62443423215019,-0.2768222114192531,201078,-19.895287958115183,-12.157838606469952,-4.8543689320388435,-0.27680652680652784,3.6117381489842115,9.621993127147753,15.037593984962406
7,-4.320315084129046,59.45525057726046,-0.33524904214559115,235649,-21.62958115183248,-13.202933985330068,-5.356371490280775,-0.33524904214559115,3.937592867756301,10.40746195385369,16.285516285516287
8,-3.8839589635738645,63.50993126307077,-0.33305578684429404,217861,-22.22222222222222,-13.924050632911388,-5.696202531645566,-0.33305578684429404,4.323094425483509,11.214953271028016,17.34693877551019
9,-4.152224769938499,64.00620966605075,-0.3558718861209953,144193,-24.1779497098646,-15.000000000000002,-6.153846153846154,-0.3558718861209953,4.634322954380887,11.952662721893503,18.507890961262554
10,-5.264183879800187,58.741899821627825,-0.48000000000000265,103717,-27.157360406091367,-15.88235294117647,-6.382978723404253,-0.48000000000000265,4.481792717086819,11.904761904761907,18.464730290456433
11,-4.597913256667924,56.279751442755256,-0.40567951318457585,122061,-25.49668874172185,-15.391539153915378,-6.214689265536711,-0.40567951318457585,4.485488126649084,11.826086956521742,18.55163164953062
12,-4.207909814222044,57.72615335490081,-0.33783783783782884,146892,-24.32432432432432,-14.945652173913048,-6.121495327102799,-0.33783783783782884,4.713375796178343,12.040133779264206,18.91570498094648
13,-4.006212878156113,56.583149336597316,-0.3558718861210064,199206,-25.0,-15.547703180212014,-6.395851339671566,-0.3558718861210064,4.960835509138373,12.66039349871686,19.6472213367336
14,-4.182735581920518,60.23601254307658,-0.42766374050050016,231970,-26.736441484300666,-16.49484536082474,-6.801994301994285,-0.42761148442272967,5.12820512820511,13.097713097713104,20.41522491349481
15,-3.5517583202599554,82.99408560043285,-0.4048582995951455,215853,-26.888064733648022,-16.858590511285122,-7.040000000000002,-0.4048582995951455,5.435967302452305,13.780200113885943,21.407333994053502
16,-3.5332814554271064,128.27403161617528,-0.4079333321922507,142632,-28.65168539325843,-17.70234409553294,-7.333333333333336,-0.40792540792541354,5.70393314242299,14.308176100628934,22.27903579254931
17,-4.5543504578667715,103.65742062101789,-0.4451038575667643,102359,-31.709646609360075,-18.608414239482208,-7.581573896353156,-0.4451038575667643,5.590062111801242,14.25361155698237,22.401847575057722
18,-4.2153024363632365,98.66007746215297,-0.4484304932735439,119418,-30.153508771929825,-18.358889349357643,-7.462686567164178,-0.4484304932735439,5.555555555555558,14.228187919463075,22.4
19,-4.142629949315605,48.350090437207996,-0.3976670201484622,144619,-28.634361233480178,-17.808219178082197,-7.314218841427733,-0.3976670201484622,5.660377358490565,14.316239316239333,22.35872235872236
20,-3.705830813660109,62.576663336602074,-0.3811999484137518,196430,-29.19675090252708,-18.174817096649974,-7.52657282390119,-0.38108435821929687,5.922406967537608,14.874141876430214,23.076923076923084
21,-3.7840969100169306,77.24953014053668,-0.3819440675603858,228154,-30.88235294117648,-19.00826446280992,-7.836990595611281,-0.3818615751789878,6.149732620320858,15.384615384615374,23.82445141065832
22,-3.0902769233502,85.03041147262417,-0.3312825366777128,214381,-30.49645390070922,-19.16971916971917,-7.9365079365079305,-0.3312825366777128,6.4868804664723,16.07956900124328,24.895920066611165
23,-3.0967961916570803,104.72950578955465,-0.3455652553668642,142034,-32.25806451612904,-19.999999999999996,-8.219537815126044,-0.34550839091807006,6.679035250463805,16.632016632016654,25.60386473429952
24,-4.184836589176993,108.36087255290442,-0.41732911028121156,101678,-36.170212765957444,-21.218637992831535,-8.500188893086513,-0.417246175243402,6.58459242678604,16.633858267716526,26.007326007326004
25,-3.844399976951732,93.82893328195708,-0.40269721501447475,115966,-34.375,-20.833333333333336,-8.479532163742686,-0.4026682838083717,6.64893617021276,16.57910099241098,26.249999999999996
26,-3.4110224717027164,75.97246934575035,-0.33795201081446846,141933,-32.55813953488372,-20.06048387096775,-8.230452674897116,-0.33795201081446846,6.666666666666665,16.607773851590114,25.779376498800953
27,-3.202513597508616,72.3942418962325,-0.3130979395479683,194218,-33.057851239669425,-20.36558712497516,-8.372641509433976,-0.313043478260866,6.8913480885311795,17.101937657961265,26.48401826484019
