days_to_event,mean_rtv,median_rtv,std_rtv,count,smooth_mean_rtv
-14,8739604347602.661,0.40183986899171004,4232378431747045.0,234523,3637545671711.121
-13,9448124010821.775,0.401208087247384,4400594980029544.0,216936,3637545671707.582
-12,2.9780479061667613,0.401992905315485,139.81827629727044,145345,3637545671683.56
-11,-11.522428939256326,0.39953427912640926,4414.733317860059,105628,1499850398322.068
-10,1.9044644391495535,0.39757814280366116,123.84343712609858,122261,-676301377137.2233
-9,-1948872019204.7979,0.401095164064842,749482564951162.9,147896,-676301377139.0925
-8,-1432634866474.682,0.40738206272560384,642595429841221.6,201189,-676301377135.1777
-7,-6.368229598414233,0.40337125921169736,6899.843136946439,235854,-676301377135.265
-6,8.05183120941535,0.4020490044161193,2393.6762647875653,218475,-72139403176.16675
-5,1.467726948973283,0.40020109075043175,351.2842475060191,146438,399332328618.633
-4,1071937850590.6936,0.3998991859760137,350092341945481.25,106666,399332328620.3375
-3,924723792499.317,0.40045278499958026,325165023002657.4,123647,399332328619.17645
-2,2.1540314439733597,0.40428118977715655,139.91790020422937,149012,2287168289394.7656
-1,2.2467595328141754,0.7135940205093054,126.19776763500076,202546,-70960457184.2496
0,9439179803879.414,0.7474720693833955,4715719366375138.0,239195,50114757428927.44
1,-10718705882304.383,0.40283023969647597,4921560291822347.0,219605,119077770929406.83
2,251853313223057.75,0.39977368479669523,9.639370947464933e16,146488,127270687124712.95
3,344815067502399.06,0.3545876752689744,1.1278931955620358e17,106995,125382851163937.34
4,40964580976532.93,0.30615556398323285,1.4488147851115608e16,125086,127526592340398.34
5,1.4345350608619654,0.39234118086181113,92.05780553966088,150042,77155929695786.75
6,0.5550652741439762,0.3171489306705838,204.25256740580508,202914,8192916195312.469
7,-0.19118031720725226,0.11578538893986169,487.63457231236885,236999,6.580336267597009
8,27.655153267542687,0.2569824145661952,12955.79387947398,219586,6.499295907080986
9,3.487618837985044,0.39638473659934764,499.30804486594326,146606,6.720079112531465
10,1.029333258281852,0.39508141619849296,238.54777831907808,106299,7.333521507883312
